year,d14c
750,0.0
751,0.0
752,0.0
753,0.0
754,0.0
755,0.0
756,0.0
757,0.0
758,0.0
759,0.0
760,0.0
761,0.0
762,0.0
763,0.0
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0
773,0.0
774,0.0436076170473676
775,11.414233406833336
776,14.785755122662156
777,15.162829811301595
778,14.548390523495089
779,13.590673788295312
780,12.57940266715846
781,11.635370141676077
782,10.799970509480342
783,10.078529829678372
784,9.461357685679022
785,8.93379638318899
786,8.48079930649995
787,8.088813409207416
788,7.7463690504986165
789,7.4440837380705
790,7.174429649575833
791,6.931432373217612
792,6.710376149797547
793,6.5075451354601
794,6.320008428855406
795,6.145447074017577
796,5.982017456402687
797,5.828244731715531
798,5.6829402964503934
799,5.545138157483901
